96.975,0.118,133.0,9.247,10.275,4
34.617,33.408,89.1,8.186,9.096,5
33.175,50.702,102.0,5.339,5.932,5
15.139,34.022,4.4,9.815,10.905,0
20.796,-17.560,123.3,8.809,9.788,3
56.395,-21.582,153.4,5.708,6.343,3
17.441,-19.204,165.1,7.940,8.822,0
27.800,48.960,159.9,9.189,10.210,5
-15.380,9.381,33.2,8.871,9.857,0
-46.896,16.691,98.3,5.908,6.564,0
54.248,-69.258,10.3,5.969,6.632,4
48.222,31.717,9.8,5.495,6.106,3
13.629,-20.460,167.2,9.451,10.501,5
-32.869,66.191,48.9,6.316,7.018,0
-37.708,-2.758,81.6,6.316,7.018,3
-4.923,71.050,79.4,5.329,5.922,2
33.512,-19.080,173.7,6.135,6.817,3
29.301,34.507,146.5,6.420,7.133,2
13.211,52.505,67.8,5.757,6.397,4
61.249,28.422,61.0,5.908,6.564,3
-9.101,75.392,77.2,8.049,8.943,3
-30.751,-4.444,11.2,7.181,7.979,3
-24.170,45.085,38.9,8.309,9.232,3
-60.805,-4.031,135.6,6.483,7.203,0
27.932,58.137,2.1,9.152,10.169,1
52.679,32.201,69.5,7.840,8.711,1
27.858,-43.343,24.2,7.641,8.490,0
75.544,23.272,76.3,8.820,9.800,1
-12.286,-51.770,77.9,8.651,9.613,2
-17.770,-57.747,153.4,8.219,9.132,2
26.998,41.586,22.7,5.672,6.302,4
18.431,-18.153,60.4,6.585,7.317,3
80.721,63.649,49.7,6.086,6.762,1
28.315,-16.898,31.7,7.520,8.355,2
33.926,-16.671,13.2,4.962,5.513,3
-62.535,17.780,60.7,7.393,8.214,4
7.108,84.783,33.5,5.528,6.143,2
-26.134,5.637,66.5,8.648,9.609,5
54.111,11.393,55.9,5.697,6.330,5
8.725,-45.866,109.7,7.133,7.925,0
-16.218,-10.457,0.4,5.411,6.013,1
49.071,14.175,116.3,7.838,8.709,4
58.168,-30.945,12.1,8.150,9.055,1
15.912,87.681,138.1,9.207,10.230,0
-21.014,27.464,29.1,7.781,8.645,0
33.700,39.062,87.6,6.684,7.426,5
5.370,35.851,136.1,8.842,9.825,5
17.078,-34.820,150.9,5.733,6.370,1
53.633,2.112,135.4,7.480,8.311,2
84.957,-11.892,151.6,5.473,6.082,5
-0.544,42.268,139.3,5.851,6.501,1
47.477,24.019,71.1,6.858,7.619,4
-1.192,48.398,89.0,7.315,8.128,0
41.089,36.597,105.3,9.802,10.891,3
-39.820,-32.954,66.2,9.257,10.286,0
23.782,56.385,176.3,5.248,5.831,0
67.990,-3.358,109.5,5.967,6.630,4
35.016,57.383,16.8,8.203,9.115,3
49.368,25.810,102.0,7.579,8.422,4
1.827,-39.509,108.3,7.123,7.915,4
22.794,-44.757,129.4,7.231,8.035,2
78.020,-7.998,124.2,5.358,5.953,5
20.834,46.080,167.0,7.340,8.156,5
17.932,-42.451,55.7,7.126,7.918,4
88.809,18.809,124.5,8.543,9.493,3
-32.580,26.821,144.3,8.635,9.594,3
-50.072,-10.267,143.1,5.936,6.595,2
